phase_id,task_id,started_before_done,had_retry,had_block,legacy_planned_to_done_shortcut,event_count
P10,P10-T1,true,false,false,false,2
P10,P10-T2,true,false,false,false,2
P10,P10-T3,true,false,false,false,2
P10,P10-T4,true,false,false,false,2
P10,P10-T5,true,false,false,false,2
P10,P10-T6,true,false,false,false,2
P11,P11-T1,true,false,false,false,2
P11,P11-T2,true,false,false,false,2
P11,P11-T3,true,false,false,false,2
P11,P11-T4,true,false,false,false,2
P11,P11-T5,true,false,false,false,2
P11,P11-T6,true,false,false,false,2
P12,P12-T1,true,false,false,false,2
P12,P12-T2,true,false,false,false,2
P12,P12-T3,true,false,false,false,2
P12,P12-T4,true,false,false,false,2
P12,P12-T5,true,false,false,false,2
P13,P13-T1,true,false,false,false,2
P13,P13-T2,true,false,false,false,2
P13,P13-T3,true,false,false,false,2
P13,P13-T4,true,false,false,false,2
P13,P13-T5,true,false,false,false,2
P13,P13-T6,true,false,false,false,2
P14,P14-T1,true,false,false,false,2
P14,P14-T2,true,false,false,false,2
P14,P14-T3,true,false,false,false,2
P14,P14-T4,true,false,false,false,2
P14,P14-T5,true,false,false,false,2
P14,P14-T6,true,false,false,false,2
P14,P14-T7,true,false,false,false,2
P14,P14-T8,true,false,false,false,2
P15,P15-T1,true,false,false,false,2
P15,P15-T2,true,false,false,false,2
P15,P15-T3,true,false,false,false,2
P15,P15-T4,true,false,false,false,2
P15,P15-T6,true,false,false,false,2
P16,P16-T1,true,false,false,false,2
P16,P16-T2,true,false,false,false,2
P16,P16-T3,true,false,false,false,2
P16,P16-T4,true,false,false,false,2
P16,P16-T5,true,false,false,false,2
P17,P17-T1,true,false,false,false,2
P17,P17-T2,true,false,false,false,2
P17,P17-T3,true,false,false,false,2
P17,P17-T4,true,false,false,false,2
P17,P17-T5,true,false,false,false,2
P18,P18-T1,false,false,false,true,1
P18,P18-T2,false,false,false,true,1
P18,P18-T3,false,false,false,true,1
P18,P18-T4,false,false,false,true,1
P18,P18-T5,false,false,false,true,1
P19,P19-T1,false,false,false,true,1
P19,P19-T2,false,false,false,true,1
P19,P19-T3,false,false,false,true,1
P19,P19-T4,false,false,false,true,1
P20,P20-T1,false,false,false,true,1
P20,P20-T2,false,false,false,true,1
P20,P20-T3,false,false,false,true,1
P20,P20-T4,false,false,false,true,1
P21,P21-T0,false,false,false,true,1
P21,P21-T1,true,false,false,false,2
P21,P21-T2,true,false,false,false,2
P21,P21-T3,true,false,false,false,2
P21,P21-T4,true,false,false,false,2
P21,P21-T5,true,false,false,false,2
P21,P21-T6,true,false,false,false,2
P24,P24-T0,false,false,false,true,1
P24,P24-T1,true,false,false,false,2
P24,P24-T2,true,false,false,false,2
P26,P26-T0,false,false,false,true,1
P26,P26-T1,true,false,false,false,2
P26,P26-T2,true,false,false,false,2
P26,P26-T3,true,false,false,false,2
P27,P27-T0,true,false,false,false,2
P27,P27-T1,true,false,false,false,2
P27,P27-T2,true,false,false,false,2
P27,P27-T3,true,false,false,false,2
P28,P28-T0,true,false,false,false,2
P28,P28-T1,true,false,false,false,2
P28,P28-T2,true,false,false,false,2
P28,P28-T3,true,false,false,false,2
P29,P29-T0,true,false,false,false,2
P29,P29-T1,true,false,false,false,2
P29,P29-T2,true,false,false,false,2
P29,P29-T3,true,false,false,false,2
P29,P29-T4,true,false,false,false,2
P29,P29-T5,true,false,false,false,2
P30,P30-T0,true,false,false,false,2
P30,P30-T1,true,false,false,false,2
P30,P30-T2,true,false,false,false,2
P30,P30-T3,true,false,false,false,2
P30,P30-T4,true,false,false,false,2
P31,P31-T0,false,false,false,true,1
P31,P31-T1,false,false,false,true,1
P31,P31-T2,false,false,false,true,1
P31,P31-T3,false,false,false,true,1
P31,P31-T4,false,false,false,true,1
P32,P32-T0,true,false,false,false,2
P32,P32-T1,true,false,false,false,2
P32,P32-T2,true,false,false,false,2
P32,P32-T3,true,false,false,false,2
P33,P33-T0,true,false,false,false,2
P33,P33-T1,true,false,false,false,2
P33,P33-T2,true,false,false,false,2
P34,P34-T0,true,false,false,false,2
P34,P34-T1,true,false,false,false,2
P34,P34-T2,true,false,false,false,2
P36,P36-T0,true,false,false,false,2
P36,P36-T1,true,false,false,false,2
P5,P5-T2,true,false,false,false,2
P5,P5-T3,true,false,false,false,2
P5,P5-T4,true,false,false,false,2
P5,P5-T5,true,false,false,false,2
P9,P9-T1,true,false,false,false,2
P9,P9-T2,true,false,false,false,2
P9,P9-T3,true,false,false,false,2
P9,P9-T4,true,false,false,false,2
P9,P9-T5,true,false,false,false,2
P9,P9-T6,true,false,false,false,2
P9,P9-T7,true,false,false,false,2
